"","lang_membership","lang_list"
"1",1,"ara"
"2",1,"arm"
"3",1,"baq"
"4",1,"bel"
"5",1,"ben"
"6",1,"bnt"
"7",1,"bos"
"8",1,"bre"
"9",2,"bul"
"10",1,"cat"
"11",1,"chi"
"12",2,"cze"
"13",2,"dan"
"14",1,"dsb"
"15",2,"dut"
"16",2,"eng"
"17",1,"epo"
"18",1,"est"
"19",1,"fao"
"20",1,"fin"
"21",2,"fre"
"22",1,"fry"
"23",1,"geo"
"24",1,"ger"
"25",1,"gla"
"26",1,"gle"
"27",1,"glg"
"28",2,"gre"
"29",2,"gsw"
"30",1,"heb"
"31",1,"hin"
"32",2,"hrv"
"33",3,"hsb"
"34",2,"hun"
"35",1,"ice"
"36",1,"ind"
"37",2,"ita"
"38",2,"jpn"
"39",1,"kaz"
"40",2,"kir"
"41",1,"kor"
"42",1,"kur"
"43",1,"lat"
"44",1,"lav"
"45",1,"lit"
"46",1,"ltz"
"47",1,"mac"
"48",1,"mal"
"49",1,"may"
"50",4,"mlg"
"51",2,"mlt"
"52",1,"mon"
"53",1,"mul"
"54",1,"nds"
"55",1,"nno"
"56",2,"nor"
"57",1,"oci"
"58",1,"per"
"59",2,"pol"
"60",2,"por"
"61",1,"roh"
"62",1,"rum"
"63",2,"rus"
"64",1,"sin"
"65",1,"slo"
"66",2,"slv"
"67",2,"spa"
"68",2,"srp"
"69",2,"swa"
"70",2,"swe"
"71",1,"tha"
"72",1,"tir"
"73",2,"tur"
"74",1,"ukr"
"75",5,"und"
"76",1,"urd"
"77",1,"vie"
"78",1,"wel"
"79",6,"wen"
"80",1,"wln"
"81",1,"yid"
